ProjectID,Project Name,Address,Street Number,Street Name,Neighborhood,Project Stage,Year Complete,Developer Name,Zoning,Planning Board Special Permit,Building Permit,Total GFA,Lot Area,FAR,Primary Use,Residential Units,Hotel Rooms,Note
424,University Park Phase II,20 Sidney Street,20,Sidney Street,Cambridgeport,Complete,1998,Forest City Developmnet,CRDD,N/A,,175000,0,0.00,Retail,0,210,
12,,80 Landsdowne Street,80,Landsdowne Street,Cambridgeport,Complete,2002,Forest City Development,CRDD,PB152,,0,0,0.00,Parking Garage,0,,
477,,101 Third Street,101,Third Street,East Cambridge,Complete,2001,Harold Asaph,R2,N/A,,0,0,0.00,Residential,4,,
7,Beal Company,300 Third Street,300,Third Street,East Cambridge,Complete,2002,Beal Company,IB-1,PB151,,128090,42697,3.00,Office/R&D,0,,
481,Squirrel Brand Properties,8 Boardman Street,8,Boardman Street,The Port/Area IV,Complete,2002,Just-A-Start Corp.,C-1,N/A,,20000,0,0.00,Residential,20,,
309,,823 Main Street,823,Main Street,The Port/Area IV,Complete,2009,Just A Start,BB,N/A,,13356,5950,2.28,Residential,10,,
417,,195 Binney Street,195,Binney Street,East Cambridge,Complete,1998,TRW; Worthington Place Assoc;HMFH,IB-1,N/A,,275000,,2.50,Residential,200,,
454,,12 Oxford Street,12,Oxford Street,Agassiz,Complete,2000,Harvard Planning and Research,C-3,N/A,,60500,0,1.63,Office/R&D,0,,
378,MITIMCO Phase 2/North Building - Pfizer,610 Main Street,610,Main Street,The Port/Area IV,Complete,2016,MIT,IB,PB238,BLDC-015112-2014,238264,210215,2.75,Office/R&D,0,,FAR includes Phase I building. 650 Parking spaces in underground garage. 380 spaces allocated to Phase I and 700 Main St.
312,Axiom,159 First Street,159,First Street,East Cambridge,Complete,2015,Urban Spaces,IA-1/BA/PUD-4B,PB231,BLDM-002316-2013,126000,29999,4.20,Residential,115,,Also known as 33 Rogers Street. 64 spaces located on-site and 15 spaces located off-site.
416,,258 Msgr. O'Brien Highway,258,Msgr. O'Brien Highway,East Cambridge,Complete,1997,"Protland Development, Modern Continental",SD-1,N/A,,50900,22500,2.26,Hotel,0,112,
330,Blessed Sacrament Phase 2,10 Cpl. McTernan Street,10,Cpl. McTernan Street,Cambridgeport,Complete,2010,Pearl McTernan LLC,C,PB211,,49302,30174,3.27,Residential,20,,
463,,250 Fresh Pond Parkway,250,Fresh Pond Parkway,West Cambridge,Complete,2001,City of Cambridge,OS,N/A,,154390,0,0.00,Utilities,0,,
580,Biogen,12 R Cambridge Center,12 R,Cambridge Center,MIT / Area 2,Complete,2005,Biogen.Add Inc.,,N/A,,132270,0,0.00,Office/R&D,0,,
439,Homeowner's Rehab,808-812 Memorial Drive,808-812,Memorial Drive,Cambridgeport,Complete,1999,,,N/A,,0,99150,0.00,Residential,301,,
448,Smith Place,10 Wilson Road,10,Wilson Road,Cambridge Highlands,Complete,1999,"A.O. Wilson, Spaulding and Slye",O-2,N/A,,75000,61000,1.20,Office/R&D,0,,
499,,800 Technology Square,800,Technology Square,The Port/Area IV,Complete,2001,Beacon Capital Partners,IB,N/A,,0,689534,2.53,Parking Garage,0,,
422,,Richdale Avenue,,Richdale Avenue,Neighborhood 9,Complete,1998,Cambridge Cohousing,IA-1,N/A,,78000,0,1.25,Residential,43,,
430,,8 Cambridge Center,8,Cambridge Center,MIT / Area 2,Complete,1999,CRA; Cambr. Tech Partners,,N/A,,177000,0,0.00,Office/R&D,0,,
599,12 - 14 Mifflin Place,40 Brattle Street,40,Brattle Street,West Cambridge,Complete,2000,Brattle Walk Assoc. / Benjamin Thompson,,N/A,,30700,0,0.00,Office/R&D,0,,
244,,10-18 Decatur Street,10-18,Decatur Street,Cambridgeport,Complete,2005,Fela Realty Trust,SD-9/C,,,31520,27671,0.88,Residential,19,,
446,,815 Somerville Avenue,815,Somerville Avenue,North Cambridge,Complete,1999,Byrdhouse Enterprises,BC,N/A,,20900,10451,2.00,Office/R&D,0,,
431,,47 Erie Street,47,Erie Street,Cambridgeport,Complete,1999,Lyme Properties,SD-8,N/A,,121104,23082,0.00,Parking Garage,0,,
235,,23 Sidney Street,23,Sidney Street,Cambridgeport,Complete,2005,Forest City Development,,,,46000,0,0.00,Residential,49,,
437,,2525 Massachusetts Avenue,2525,Massachusetts Avenue,North Cambridge,Complete,1999,Just A Start Corp.,,N/A,,0,0,0.00,Residential,12,,
429,Marriott Residence Inn,6 Cambridge Center,6,Cambridge Center,MIT / Area 2,Complete,1999,Cambridge Redev Auth,MXD,N/A,,0,0,2.00,Hotel,0,221,
366,Holmes Building,622-38 Massachusetts Avenue,622-38,Massachusetts Avenue,Cambridgeport,Complete,2013,Hunneman Management,BB/CSOD,PB133,,26650,32823,3.90,Residential,21,,Conversion of second floor from commercial to residential use. Toital project includes 93 units and 80 parking spaces.
460,Holmes Building,1-9 Central Square,1-9,Central Square,Cambridgeport,Complete,2001,Holmes Family Trust,BB,PB147,,128000,32823,3.90,Residential,93,,
469,,396-398 Putnam Avenue,396-398,Putnam Avenue,Cambridgeport,Complete,2001,CASCAP,,N/A,,0,0,0.00,Residential,8,,
23,,700 Technology Square,700,Technology Square,The Port/Area IV,Complete,2002,Tech Square LLC,IB,PB144,,54376,452204,2.12,Office/R&D,0,,
401,"Martin Luther King, Jr. School",100 Putnam Avenue,100,Putnam Avenue,Riverside,Complete,2015,City of Cambridge,C-1,PB277,BLDC-012909-2014,169221,147534,1.15,Government,0,,34 spaces by zoning but 75 spaces available using tandem parking.
457,,330-334 Broadway,330-334,Broadway,Mid-Cambridge,Complete,2001,Keystone Companies,0-1/C-1,N/A,,10995,21289,0.00,Residential,10,,
321,also 256 Elm Street,1066 Cambridge Street,1066,Cambridge Street,Wellington Harrington,Complete,2011,Just A Start,BA/C-1,N/A,,27732,16084,1.60,Residential,19,,
412,,243 Bent Street,243,Bent Street,East Cambridge,Complete,1997,,,N/A,,0,0,0.00,Residential,11,,
428,,210 Broadway,210,Broadway,The Port/Area IV,Complete,1999,Bullfinch,1A-2,N/A,,70000,36647,1.34,Office/R&D,0,,
467,,580 Massachusetts Avenue,580,Massachusetts Avenue,Cambridgeport,Complete,2001,Cambridge Garden Realty Trust,BB,N/A,,0,16164,3.00,Residential,30,,
455,,191-195 Prospect Street,191-195,Prospect Street,Mid-Cambridge,Complete,2000,Pallotte Trust,C-1,N/A,,0,0,0.00,Residential,20,,
440,Eliot Square,100-104 Mount Auburn Street,100-104,Mount Auburn Street,West Cambridge,Complete,1999,Intercontinential Contracting Corp,BB,N/A,,53000,24000,3.61,Residential,8,,
14,,91 Sidney Street,91,Sidney Street,Cambridgeport,Complete,2002,Forest City Development,CRDD,PB152,,156000,0,0.00,Residential,135,,
447,,165 Western Avenue,165,Western Avenue,Riverside,Complete,1999,CASCAP,,N/A,,0,0,0.00,Residential,9,,
436,also 14-32 JFK Street,1380-1392 Massachusetts Avenue,1380-1392,Massachusetts Avenue,Riverside,Complete,1999,Cambridge Savings Bank,,N/A,,50000,12350,4.00,Retail,0,,
453,,210 Otis Street,210,Otis Street,East Cambridge,Complete,2000,Just A Start Corp,,N/A,,0,0,0.00,Residential,8,,
432,2 Canal Park,2 First Street,2,First Street,East Cambridge,Complete,1999,New England Development,BA/PUD-4,N/A,,197000,61780,2.35,Office/R&D,0,,Also known as 2 Canal Park.
280,Acute Care Bldg/Parking Garage,330 Mount Auburn Street,330,Mount Auburn Street,West Cambridge,Complete,2008,Mt. Auburn Hospital,C-1/C-3,PB209,,180900,367181,1.56,Hospital,0,,
601,Museum Towers/Regatta Riverway,8-12 Museum Way,8-12,Museum Way,East Cambridge,Complete,1998,,,PB85,,1016868,0,0.00,Residential,432,,Also five commerical condos in buildings.
22,,600 Technology Square,600,Technology Square,The Port/Area IV,Complete,2002,Tech Square LLC,IB,PB144,,132591,452204,2.12,Office/R&D,0,,
458,,15 Cambridge Center,15,Cambridge Center,MIT / Area 2,Complete,2001,Biogen/CRA,MXD,N/A,,224000,0,2.81,Office/R&D,0,,
433,,163 Gore Street,163,Gore Street,East Cambridge,Complete,1999,Cambridge Publiuc Health Comm.,BA-2,N/A,,26800,40000,0.67,Office/R&D,0,,
451,,139 - 155 Brookline Street,139 - 155,Brookline Street,Cambridgeport,Complete,2000,Hammond Real Estate,SD-9/C,N/A,,34531,30228,0.00,Residential,20,,
47,Brickworks Housing,310-324 Rindge Avenue,310-324,Rindge Avenue,North Cambridge,Complete,2006,Brickworks LLC,C-1A/MXR?,PB186,,153730,153207,1.05,Residential,102,,
442,,101 Pacific Street,101,Pacific Street,Cambridgeport,Complete,1999,Forest City Development,CRDD,N/A,,266000,0,0.00,Parking Garage,0,,
483,,30 Cambridgepark Drive,30,Cambridgepark Drive,North Cambridge,Complete,2002,Oaktree Development,,PB154,,366350,143717,2.55,Residential,311,,
402,KFC Redevelopment,168-174 Hampshire Street,168-174,Hampshire Street,The Port/Area IV,Complete,2014,Agnosis Developmnet LLC,BA,N/A,213013-027680,23543,10100,2.33,Residential,11,,
234,Lofts Building/Cambridge Research Park,450 Kendall Street,450,Kendall Street,East Cambridge,Complete,2015,Biomed Realty Trust,O-3/PUD-3,PB141,BLDC-008322-2013,53000,14463,3.66,Office/R&D,0,,Parking is provided in Cambridge Research Park pooled facility.
5,,88 Sidney Street,88,Sidney Street,Cambridgeport,Complete,2002,Forest City Development,CRDD,PB152,,154978,0,0.00,Office/R&D,0,,
456,"358,368,384-390 Rindge Avenue",354 Rindge Avenue,354,Rindge Avenue,North Cambridge,Complete,2000,Just A Start Corp,IA-1,N/A,,27116,26000,1.08,Residential,12,,
332,,1131 Massachusetts Avenue,1131,Massachusetts Avenue,Mid-Cambridge,Complete,2010,Veritas LLC,C-2B,PB228,,11077,6330,1.75,Hotel,0,32,
657,EF Building 1,1 Education Street,1,Education Street,East Cambridge,Complete,1997,"EFEKTRA Schools, Inc",,PB85,,156684,50266,0.00,Office/R&D,0,,
443,,48 Porter Road,48,Porter Road,North Cambridge,Complete,1999,48 Porter Rd Realty trust,B,N/A,,0,15949,0.00,Residential,6,,
435,,1008 Massachusetts Avenue,1008,Massachusetts Avenue,Riverside,Complete,1999,Oaktree Development,B-1,N/A,,74610,36661,3.25,Retail,67,,
307,,125-127 Harvard Street,125-127,Harvard Street,The Port/Area IV,Complete,2009,"CASCAP Realty, Inc.",C-2B,N/A,,37213,10200,0.00,Residential,24,,
472,Bread & Circus,320 - 366 River Street,320 - 366,River Street,Riverside,Complete,2001,Whole Food Market,O-3,,,44834,78582,1.00,Retail,0,,
468,,125 Mount Auburn Street,125,Mount Auburn Street,West Cambridge,Complete,2001,Bullfinch Co.,BB/HSOD,PB164,,49974,12803,3.90,Office/R&D,0,,
298,,479 Concord Avenue,479,Concord Avenue,Neighborhood 9,Complete,2008,"Shelter, Inc.",C-1A/B,N/A,,3700,5865,0.00,Residential,14,,
292,Columbia Court,199-209 Columbia Street,199-209,Columbia Street,The Port/Area IV,Complete,2007,Just A Start Corp,BA/C-1,N/A,,13241,13956,1.18,Residential,13,,
346,,87 New Street,87,New Street,Neighborhood 9,Complete,2010,Oaktree Development,IA-1,N/A,,49999,30000,1.95,Residential,54,,
304,,1 First Street,1,First Street,East Cambridge,Complete,2008,Leggat McCall Properties,?/PUD-4A,PB192,,297006,72418,4.10,Residential,196,,
359,Discovery Park Master Plan Forrester Bldg.,200-300 Discovery Park,200-300,Discovery Park,North Cambridge,Complete,2011,Bulfinch Company,SD-4,PB198,,235000,1154420,0.61,Lab/R&D,0,,FAR is for entire Discovery Park development. Parking allocated from Discovery Park inventory.
365,EF Building 2 - Offices & Hult Business School,8 Education Street,8,Education Street,East Cambridge,Complete,2014,Congress Group Ventures,NP/PUD-6,PB262,BLDC-014347-2014,295000,138000,2.14,Office/R&D,0,,
434,,273 Harvard Street,273,Harvard Street,Mid-Cambridge,Complete,1999,CASCAP Inc.,C-1,N/A,,0,0,0.00,Residential,22,,
303,,72 Hamilton Street,72,Hamilton Street,Cambridgeport,Complete,2010,Peggy Morrissey,SD-10,PB226,,15343,11172,1.32,Residential,11,,
391,,42-54 Bay State Road,42-54,Bay State Road,Neighborhood 9,Complete,2012,BSR LLC,C-1A,N/A,212118-009990,13215,5891,2.24,Residential,10,,Also BZA #10165.
392,,131 Harvard Street,131,Harvard Street,The Port/Area IV,Complete,2016,Capstone Communities/Sean Hope RE,C-2B,N/A,BLDM-027706-2015,23342,10000,2.33,Residential,20,,GFA includes underground structured parking. Also BZA #10455.
394,North Point Master Plan Bldg N/2020,20 Child Street,20,Child Street,East Cambridge,Complete,2015,HYM Investments,NP/PUD-6,PB179,BLDC-003384-2013,388000,49284,2.66,Residential,355,,FAR for overall North Point development.
258,North Point Master Plan Bldg S/Sierra,1 Earhart Street,1,Earhart Street,East Cambridge,Complete,2008,JonesLangLaSalle-GuilfordTransport,NP/PUD-6,PB179,,113955,19500,2.66,Residential,99,,FAR for overall North Point development.
259,North Point Master Plan Bldg T/Tango,2 Earhart Street,2,Earhart Street,East Cambridge,Complete,2008,JonesLangLaSalle-GuilfordTransport,NP/PUD-6,PB179,,236223,32000,2.66,Residential,230,,FAR for overall North Point development.
1,Polaroid-Office,770-790 Memorial Drive,770-790,Memorial Drive,Cambridgeport,Complete,2003,Spaulding & Slye,O-3,PB161,,158572,164853,0.96,Office/R&D,0,,
493,,70 Pacific Street,70,Pacific Street,Cambridgeport,Complete,2001,MIT Real Estate,SD-8,PB235,,346000,138751,2.49,Institutional,0,,
501,,100 Vassar Street,100,Vassar Street,MIT / Area 2,Complete,2001,MIT,C-3,N/A,,110000,0,0.36,Institutional,0,,
479,,224 Albany Street,224,Albany Street,Cambridgeport,Complete,2002,,SD-8,N/A,,74976,0,0.00,Institutional,0,,
313,Shady Hill Arts Center & Gym,178 Coolidge Hill,178,Coolidge Hill,West Cambridge,Complete,2009,Shady Hill School,A-2,N/A,807095,75363,472716,0.26,Institutional,0,,
255,NW Lab Building,24 Oxford Street,24,Oxford Street,Agassiz,Complete,2008,Harvard University,C-3,PB204,,410000,1132560,2.12,Institutional,0,,
299,Sloan School of Management,100 Main Street,100,Main Street,MIT / Area 2,Complete,2010,MIT,C-3B,PB225,,209000,268713,2.44,Institutional,0,,
296,Graduate Dormitory,235 Albany Street,235,Albany Street,MIT / Area 2,Complete,2008,MIT,SD-8,PB215,,246900,143910,1.71,Institutional,0,,
300,Harvard Law School,1585 Massachusetts Avenue,1585,Massachusetts Avenue,Agassiz,Complete,2011,Harvard University,C-3,PB221,707078-030893,234000,1343528,1.71,Institutional,0,,Parking spaces servemultiple buildings throughout Harvard campus.
17,"Simmons Hall, MIT Dormitory",229 Vassar Street,229,Vassar Street,MIT / Area 2,Complete,2002,MIT,SD-6,PB157,,160000,61683,3.00,Institutional,0,,
8,MIT Stata Center,10 Vassar Street,10,Vassar Street,MIT / Area 2,Complete,2004,MIT,,PB158,,446510,120450,3.60,Institutional,0,,
449,MIT Building E18,50 Ames Street,50,Ames Street,MIT / Area 2,Complete,2000,MIT,IB/PUD-?,N/A,898238,129400,0,2.35,Institutional,0,,
30,CGIS-South,1730 Cambridge Street,1730,Cambridge Street,Mid-Cambridge,Complete,2005,Harvard University,C-3,PB171,,84377,63929,1.33,Institutional,0,,
356,Art Institute of Boston,1801 Massachusetts Avenue,1801,Massachusetts Avenue,Agassiz,Complete,2015,Lesley University,BA-2/NMAOD,PB253,BLDC-011478-2014,74500,28063,2.65,Institutional,0,,Parking allocated from Lesley University pool.
319,,1663 Massachusetts Avenue,1663,Massachusetts Avenue,Agassiz,Complete,2010,Lesley University,BA-2/C-1,N/A,,34700,18980,1.81,Institutional,0,,
314,MIT Media Lab,75 Amherst Street,75,Amherst Street,MIT / Area 2,Complete,2009,MIT,C-3B,PB168,607018,162665,294849,2.62,Institutional,0,,
40,MIT Brain & Cognitive Center,43 Vassar Street,43,Vassar Street,MIT / Area 2,Complete,2005,MIT,C-3B,PB181,,362000,388991,0.40,Institutional,0,,
262,LISE Building,15 Oxford Street,15,Oxford Street,Agassiz,Complete,2007,Harvard University,C-3,PB191,,118800,0,1.58,Institutional,0,,
241,CGIS-North,1737 Cambridge Street,1737,Cambridge Street,Mid-Cambridge,Complete,2005,Harvard University,C-1/C-3,PB171,,96054,169205,2.57,Institutional,0,,
360,Binney St. Alexandria Master Plan,50/60 Binney Street,50/60,Binney Street,East Cambridge,Complete,2017,Alexandria Real Estate,IA-1/PUD-3A,PB243,BLDC-018436-2014,467512,63844,7.59,Office/R&D,0,,"Garage totals 899 spaces with 421 allocated to 50/60 Binney Street, 302 to 215 First Street, 136 to 100 Binney Street, 15 to 41 Linsky Way, and 25 to 161 First Street."
405,Miso Block Redevelopment,1971 Massachusetts Avenue,1971,Massachusetts Avenue,North Cambridge,Complete,2017,Urban Spaces,BC,N/A,BLDM-022573-2015,26351,14044,1.81,Residential,20,,Includes demolition of existing retail building.
398,,130 Cambridgepark Drive,130,Cambridgepark Drive,North Cambridge,Complete,2017,The Hanover Company,O-2A/AOD-6,PB279,BLDM-031440-2015,213321,102013,2.10,Residential,213,,"120 spaces located on-site, 28 dedicated and 68 shared spaces located in 140 Cambridgepark Drive garage."
606,Harvard JFK School Expansion,79 JFK Street,79,JFK Street,West Cambridge,Complete,2017,Harvard University,C-3,PB293,BLDC-026899-2015,76862,126655,2.51,Institutional,0,,FAR includes existing building on-site. 129 spaces to be allocated from Harvard campus pool.
640,Parking Garage,88 Cambridgepark Drive,88,Cambridgepark Drive,North Cambridge,Complete,2017,McKinnon Company,O-2A/AOD-6,PB292,BLDC-041235-2016,26800,174496,1.70,Parking Garage,0,,"541 parking spaces for 100, 125, & 150 Cambridgepark Drive, including 94 spaces shared with  on-site residences. Residences in separate phase."
687,Auburn Court Addition,3 Brookline Place,3,Brookline Place,Cambridgeport,Complete,2017,HRI,CRDD,N/A,BLDM-047719-2016,11025,67745,1.46,Residential,8,,Infill addition to Auburn Court. FAR includes existing development. Parking provided in existing Auburn Court pool.
370,Binney St. Alexandria Master Plan,100 Binney Street,100,Binney Street,East Cambridge,Complete,2017,Alexandria Real Estate,IA-1/PUD-3A,PB243,BLDC-029720-2015,356941,54433,7.12,Office/R&D,0,,185 spaces in on-site underground garage and 136 allocated from 50/60 Binney Street garage.
